srcid,Q1,Q2,Q4,Q6a,Q6b,Q6c,Q6d,Q7a,Q7b,Q7c,Q7d,Q7e,Q10a,Q10b,Q10c,Q10d,sDevType,sOSName,age_gender
780,"""2""","""16""","""96""","""2""","""3""","""2""","""2""","""2""","""2""","""1""","""3""","""2""","""2""","""4""","""4""","""2""","""1""","""6""",65+ Female
859,"""2""","""28""","""96""","""4""","""4""","""4""","""3""","""4""","""3""","""3""","""3""","""3""","""4""","""4""","""4""","""4""","""0""","""12""",30-49 Female
733,"""2""","""4""","""1""","""4""","""4""","""4""","""4""","""2""","""2""","""2""","""3""","""2""","""2""","""4""","""2""","""4""","""0""","""12""",30-49 Male
2355,"""1""","""1""","""1""","""5""","""5""","""5""","""5""","""3""","""1""","""4""","""2""","""2""","""4""","""5""","""5""","""5""","""-1""","""-1""",65+ Female
750,"""5""","""19""","""1""","""3""","""3""","""3""","""2""","""2""","""2""","""2""","""2""","""2""","""4""","""4""","""4""","""4""","""1""","""6""",50-64 Male
1538,"""2""","""-98""","""96""","""3""","""2""","""3""","""2""","""1""","""1""","""3""","""2""","""2""","""4""","""4""","""4""","""2""","""0""","""12""",50-64 Female
2607,"""2""","""16""","""1""","""3""","""3""","""3""","""2""","""2""","""2""","""2""","""2""","""1""","""2""","""4""","""4""","""1""","""-1""","""-1""",65+ Female
1052,"""3""","""36""","""8""","""4""","""3""","""2""","""2""","""2""","""2""","""2""","""1""","""1""","""3""","""4""","""4""","""4""","""-1""","""-1""",65+ Female
977,"""4""","""11""","""3""","""3""","""2""","""3""","""2""","""2""","""2""","""1""","""2""","""1""","""5""","""5""","""5""","""1""","""0""","""12""",65+ Female
466,"""4""","""13""","""1""","""4""","""4""","""5""","""2""","""3""","""2""","""3""","""3""","""1""","""2""","""4""","""4""","""2""","""-1""","""-1""",65+ Female
537,"""4""","""13""","""1""","""5""","""3""","""4""","""3""","""3""","""1""","""2""","""3""","""3""","""2""","""2""","""4""","""1""","""-1""","""-1""",65+ Female
1271,"""4""","""11""","""96""","""5""","""2""","""2""","""5""","""1""","""1""","""1""","""3""","""1""","""2""","""2""","""2""","""2""","""0""","""8""",30-49 Female
293,"""2""","""13""","""-98""","""3""","""4""","""4""","""5""","""2""","""2""","""3""","""3""","""3""","""2""","""2""","""2""","""2""","""0""","""12""",30-49 Female
2498,"""4""","""16""","""1""","""3""","""3""","""3""","""3""","""4""","""4""","""4""","""4""","""4""","""4""","""4""","""4""","""4""","""0""","""12""",30-49 Male
656,"""2""","""19""","""3""","""1""","""1""","""2""","""1""","""1""","""1""","""2""","""2""","""1""","""4""","""4""","""4""","""1""","""1""","""6""",65+ Male
1324,"""1""","""1""","""1""","""5""","""4""","""5""","""5""","""1""","""1""","""3""","""1""","""3""","""4""","""5""","""4""","""2""","""-1""","""-1""",65+ Male
464,"""5""","""19""","""96""","""4""","""2""","""2""","""3""","""3""","""3""","""3""","""4""","""2""","""5""","""5""","""5""","""1""","""-1""","""-1""",65+ Male
199,"""2""","""11""","""1""","""3""","""3""","""3""","""3""","""3""","""1""","""1""","""2""","""1""","""4""","""2""","""2""","""2""","""1""","""6""",30-49 Female
1233,"""2""","""1""","""3""","""2""","""1""","""4""","""4""","""2""","""2""","""4""","""4""","""1""","""2""","""4""","""4""","""2""","""-1""","""-1""",65+ Female
1428,"""2""","""30""","""3""","""4""","""2""","""4""","""2""","""3""","""3""","""4""","""3""","""3""","""2""","""2""","""2""","""2""","""1""","""6""",30-49 Female
2468,"""2""","""5""","""3""","""5""","""4""","""4""","""4""","""1""","""1""","""2""","""2""","""2""","""4""","""4""","""4""","""2""","""0""","""12""",65+ Female
1774,"""4""","""20""","""3""","""3""","""3""","""3""","""2""","""3""","""2""","""2""","""3""","""2""","""4""","""4""","""4""","""2""","""0""","""8""",65+ Female
103,"""3""","""96""","""1""","""5""","""4""","""3""","""3""","""1""","""1""","""1""","""1""","""1""","""1""","""3""","""3""","""1""","""-1""","""-1""",65+ Female
1137,"""1""","""28""","""1""","""2""","""2""","""3""","""2""","""1""","""1""","""3""","""2""","""1""","""2""","""4""","""5""","""5""","""-1""","""-1""",65+ Female
215,"""4""","""11""","""1""","""2""","""1""","""3""","""1""","""3""","""3""","""2""","""3""","""2""","""1""","""2""","""4""","""2""","""0""","""12""",65+ Male
4,"""5""","""29""","""1""","""2""","""2""","""4""","""4""","""4""","""3""","""4""","""4""","""3""","""5""","""5""","""5""","""5""","""-1""","""-1""",50-64 Female
1329,"""4""","""11""","""4""","""2""","""4""","""3""","""2""","""2""","""2""","""2""","""3""","""2""","""2""","""4""","""5""","""2""","""0""","""12""",50-64 Male
2384,"""4""","""28""","""3""","""3""","""1""","""2""","""2""","""1""","""1""","""2""","""3""","""1""","""1""","""1""","""2""","""2""","""0""","""12""",65+ Male
772,"""5""","""16""","""5""","""1""","""1""","""1""","""1""","""1""","""1""","""1""","""3""","""1""","""2""","""4""","""2""","""2""","""2""","""6""",50-64 Female
1165,"""2""","""5""","""4""","""2""","""2""","""2""","""2""","""1""","""2""","""2""","""2""","""1""","""4""","""4""","""4""","""2""","""2""","""6""",65+ Female
2267,"""2""","""17""","""3""","""4""","""4""","""4""","""2""","""2""","""1""","""2""","""2""","""1""","""2""","""4""","""2""","""2""","""0""","""12""",50-64 Male
137,"""2""","""11""","""4""","""-98""","""3""","""3""","""-98""","""3""","""1""","""3""","""2""","""2""","""4""","""5""","""5""","""4""","""-1""","""-1""",65+ Female
1858,"""4""","""16""","""3""","""1""","""1""","""1""","""1""","""1""","""1""","""1""","""2""","""1""","""4""","""2""","""5""","""1""","""2""","""6""",65+ Female
1067,"""3""","""13""","""95""","""2""","""1""","""4""","""3""","""1""","""1""","""3""","""3""","""1""","""4""","""4""","""4""","""1""","""-1""","""-1""",65+ Female
1019,"""1""","""1""","""3""","""4""","""4""","""3""","""3""","""3""","""2""","""1""","""4""","""2""","""4""","""4""","""4""","""4""","""0""","""12""",65+ Male
1226,"""4""","""29""","""3""","""1""","""1""","""2""","""3""","""2""","""1""","""1""","""1""","""1""","""2""","""2""","""4""","""1""","""0""","""12""",65+ Male
990,"""2""","""96""","""1""","""3""","""3""","""3""","""3""","""1""","""2""","""3""","""2""","""2""","""4""","""4""","""4""","""2""","""1""","""1""",65+ Male
509,"""2""","""1""","""3""","""3""","""3""","""4""","""3""","""3""","""3""","""3""","""3""","""3""","""2""","""5""","""4""","""4""","""0""","""12""",50-64 Male
1910,"""4""","""11""","""-98""","""5""","""2""","""3""","""5""","""1""","""2""","""2""","""3""","""1""","""2""","""4""","""4""","""4""","""2""","""6""",30-49 Female
128,"""2""","""11""","""1""","""3""","""3""","""3""","""3""","""3""","""3""","""3""","""3""","""3""","""2""","""4""","""4""","""4""","""0""","""12""",50-64 Female
770,"""2""","""19""","""1""","""4""","""2""","""3""","""3""","""3""","""3""","""3""","""3""","""3""","""4""","""4""","""4""","""2""","""2""","""6""",50-64 Female
1061,"""4""","""16""","""1""","""3""","""2""","""3""","""2""","""1""","""1""","""2""","""2""","""1""","""2""","""2""","""1""","""1""","""0""","""8""",50-64 Male
305,"""4""","""11""","""96""","""2""","""2""","""2""","""2""","""2""","""2""","""2""","""2""","""1""","""2""","""2""","""2""","""2""","""1""","""6""",50-64 Female
452,"""2""","""5""","""1""","""3""","""3""","""4""","""2""","""1""","""2""","""3""","""2""","""1""","""2""","""4""","""2""","""2""","""0""","""12""",65+ Male
320,"""2""","""16""","""1""","""3""","""3""","""4""","""4""","""2""","""2""","""4""","""3""","""2""","""2""","""5""","""5""","""1""","""0""","""12""",65+ Female
595,"""4""","""1""","""1""","""4""","""5""","""3""","""4""","""1""","""1""","""2""","""1""","""1""","""2""","""2""","""4""","""2""","""1""","""1""",30-49 Female
1384,"""2""","""1""","""3""","""5""","""5""","""3""","""3""","""1""","""1""","""1""","""1""","""1""","""4""","""4""","""4""","""2""","""2""","""6""",50-64 Female
1687,"""4""","""13""","""6""","""5""","""4""","""4""","""2""","""3""","""1""","""4""","""3""","""1""","""1""","""4""","""4""","""1""","""-1""","""-1""",65+ Male
308,"""2""","""-98""","""-99""","""3""","""2""","""3""","""3""","""2""","""2""","""2""","""2""","""2""","""2""","""4""","""4""","""2""","""0""","""12""",65+ Male
269,"""4""","""16""","""34""","""2""","""2""","""1""","""3""","""2""","""2""","""1""","""3""","""2""","""2""","""4""","""2""","""2""","""-1""","""-1""",50-64 Male
1072,"""4""","""1""","""1""","""4""","""5""","""2""","""2""","""2""","""1""","""2""","""1""","""1""","""1""","""1""","""1""","""1""","""-1""","""-1""",65+ Female
1070,"""4""","""16""","""6""","""5""","""4""","""4""","""4""","""2""","""2""","""3""","""3""","""2""","""2""","""4""","""4""","""1""","""-1""","""-1""",65+ Male
2034,"""4""","""1""","""2""","""1""","""1""","""3""","""3""","""2""","""2""","""3""","""2""","""1""","""2""","""2""","""1""","""4""","""0""","""8""",50-64 Female
1069,"""2""","""1""","""6""","""3""","""3""","""3""","""3""","""2""","""2""","""2""","""4""","""2""","""4""","""4""","""4""","""4""","""-1""","""-1""",50-64 Female
28,"""4""","""-98""","""6""","""5""","""1""","""1""","""2""","""1""","""1""","""2""","""1""","""2""","""5""","""5""","""4""","""4""","""-1""","""-1""",65+ Female
1214,"""2""","""20""","""3""","""2""","""2""","""4""","""2""","""2""","""2""","""3""","""4""","""2""","""4""","""4""","""4""","""4""","""0""","""12""",65+ Male
463,"""2""","""1""","""1""","""5""","""4""","""4""","""5""","""2""","""3""","""2""","""3""","""2""","""4""","""5""","""4""","""1""","""-1""","""-1""",65+ Female
64,"""4""","""13""","""3""","""5""","""5""","""1""","""5""","""1""","""1""","""1""","""1""","""1""","""4""","""5""","""4""","""1""","""0""","""12""",65+ Female
721,"""2""","""6""","""1""","""5""","""5""","""3""","""2""","""2""","""1""","""1""","""2""","""2""","""4""","""4""","""2""","""1""","""0""","""12""",30-49 Female
1846,"""2""","""11""","""1""","""4""","""2""","""4""","""2""","""2""","""2""","""3""","""2""","""2""","""4""","""2""","""4""","""2""","""2""","""6""",30-49 Female
535,"""2""","""28""","""1""","""3""","""5""","""2""","""2""","""1""","""1""","""1""","""2""","""4""","""5""","""4""","""4""","""-98""","""-1""","""-1""",65+ Female
1246,"""4""","""-98""","""-98""","""4""","""4""","""4""","""2""","""1""","""1""","""2""","""2""","""2""","""2""","""4""","""4""","""2""","""0""","""12""",30-49 Female
33,"""2""","""13""","""3""","""4""","""5""","""4""","""4""","""1""","""2""","""2""","""1""","""2""","""4""","""4""","""2""","""2""","""1""","""6""",50-64 Male
1155,"""2""","""30""","""1""","""5""","""5""","""4""","""5""","""1""","""2""","""3""","""2""","""1""","""2""","""4""","""4""","""2""","""1""","""6""",30-49 Female
613,"""2""","""13""","""3""","""5""","""5""","""2""","""2""","""1""","""1""","""1""","""1""","""1""","""4""","""5""","""5""","""2""","""-1""","""-1""",65+ Female
1219,"""2""","""34""","""2""","""2""","""2""","""4""","""2""","""2""","""2""","""2""","""2""","""2""","""4""","""4""","""4""","""2""","""0""","""12""",65+ Female
249,"""2""","""17""","""1""","""4""","""3""","""3""","""3""","""3""","""4""","""3""","""3""","""4""","""2""","""2""","""2""","""2""","""2""","""1""",65+ Female
1859,"""4""","""11""","""4""","""3""","""5""","""4""","""4""","""3""","""3""","""4""","""3""","""3""","""5""","""5""","""5""","""5""","""2""","""6""",65+ Female
863,"""2""","""19""","""8""","""3""","""3""","""2""","""2""","""2""","""2""","""2""","""2""","""2""","""2""","""2""","""2""","""2""","""2""","""6""",50-64 Male
688,"""2""","""11""","""3""","""1""","""1""","""2""","""1""","""1""","""1""","""1""","""1""","""1""","""2""","""5""","""4""","""1""","""-1""","""-1""",65+ Female
304,"""2""","""13""","""1""","""2""","""2""","""1""","""1""","""1""","""1""","""1""","""1""","""1""","""4""","""5""","""4""","""1""","""0""","""12""",30-49 Male
1591,"""4""","""16""","""3""","""1""","""3""","""2""","""2""","""1""","""1""","""1""","""1""","""1""","""5""","""5""","""5""","""5""","""-1""","""-1""",50-64 Male
1986,"""2""","""16""","""3""","""3""","""3""","""4""","""2""","""3""","""2""","""3""","""4""","""3""","""2""","""2""","""2""","""2""","""0""","""12""",50-64 Male
51,"""2""","""1""","""-98""","""4""","""4""","""4""","""4""","""2""","""2""","""2""","""2""","""1""","""2""","""4""","""2""","""2""","""1""","""1""",30-49 Female
1768,"""4""","""16""","""4""","""4""","""2""","""4""","""4""","""3""","""3""","""4""","""3""","""2""","""5""","""5""","""5""","""5""","""0""","""12""",50-64 Male
1092,"""2""","""4""","""3""","""2""","""3""","""4""","""3""","""2""","""1""","""4""","""3""","""3""","""1""","""2""","""2""","""4""","""0""","""12""",30-49 Female
79,"""2""","""4""","""1""","""4""","""5""","""4""","""5""","""2""","""2""","""2""","""3""","""2""","""4""","""5""","""4""","""2""","""0""","""12""",65+ Female
1969,"""2""","""96""","""4""","""3""","""3""","""3""","""2""","""2""","""2""","""2""","""3""","""1""","""1""","""4""","""2""","""4""","""0""","""12""",30-49 Male
1648,"""2""","""8""","""3""","""2""","""3""","""4""","""2""","""1""","""1""","""2""","""2""","""2""","""1""","""5""","""2""","""1""","""0""","""12""",50-64 Male
1592,"""1""","""2""","""3""","""3""","""5""","""3""","""2""","""1""","""2""","""1""","""3""","""3""","""4""","""5""","""4""","""2""","""1""","""6""",18-29 Female
578,"""2""","""1""","""-98""","""3""","""3""","""4""","""3""","""3""","""2""","""4""","""4""","""3""","""2""","""2""","""2""","""4""","""1""","""6""",30-49 Female
1266,"""2""","""5""","""3""","""5""","""5""","""4""","""4""","""1""","""2""","""3""","""3""","""4""","""4""","""2""","""2""","""2""","""1""","""1""",30-49 Female
787,"""1""","""16""","""-98""","""3""","""2""","""2""","""2""","""2""","""2""","""2""","""2""","""2""","""2""","""4""","""4""","""2""","""1""","""6""",50-64 Male
1849,"""4""","""16""","""1""","""3""","""2""","""2""","""2""","""3""","""1""","""4""","""4""","""2""","""2""","""2""","""4""","""1""","""1""","""6""",30-49 Female
1462,"""2""","""16""","""-98""","""3""","""4""","""3""","""3""","""2""","""2""","""2""","""2""","""2""","""4""","""4""","""4""","""2""","""2""","""6""",65+ Female
1193,"""2""","""1""","""1""","""2""","""5""","""4""","""4""","""1""","""1""","""2""","""2""","""1""","""2""","""4""","""4""","""2""","""1""","""6""",30-49 Female
862,"""2""","""1""","""11""","""4""","""4""","""3""","""2""","""1""","""1""","""2""","""2""","""1""","""1""","""4""","""2""","""1""","""0""","""12""",65+ Male
112,"""4""","""20""","""4""","""1""","""1""","""2""","""2""","""1""","""1""","""2""","""4""","""1""","""4""","""4""","""4""","""2""","""0""","""12""",30-49 Male
1289,"""2""","""1""","""6""","""2""","""2""","""2""","""2""","""1""","""1""","""1""","""1""","""1""","""1""","""1""","""1""","""1""","""0""","""12""",50-64 Female
1002,"""2""","""17""","""1""","""4""","""4""","""3""","""4""","""1""","""1""","""1""","""2""","""2""","""2""","""2""","""2""","""2""","""0""","""12""",50-64 Female
430,"""2""","""6""","""-98""","""5""","""3""","""4""","""1""","""1""","""1""","""2""","""1""","""1""","""5""","""5""","""5""","""1""","""0""","""12""",50-64 Male
1707,"""5""","""1""","""1""","""4""","""3""","""4""","""3""","""2""","""2""","""1""","""2""","""2""","""4""","""4""","""4""","""4""","""-1""","""-1""",30-49 Male
333,"""4""","""13""","""1""","""3""","""3""","""3""","""3""","""1""","""1""","""2""","""2""","""2""","""2""","""4""","""4""","""4""","""0""","""12""",65+ Male
18,"""2""","""1""","""97""","""2""","""2""","""3""","""3""","""4""","""3""","""3""","""3""","""3""","""4""","""5""","""4""","""5""","""-1""","""-1""",65+ Female
406,"""4""","""11""","""3""","""2""","""2""","""2""","""2""","""1""","""1""","""1""","""2""","""1""","""2""","""2""","""2""","""2""","""0""","""12""",65+ Female
1677,"""1""","""12""","""1""","""5""","""5""","""5""","""5""","""1""","""1""","""1""","""1""","""1""","""2""","""2""","""2""","""1""","""1""","""1""",65+ Female
1225,"""2""","""17""","""-98""","""1""","""3""","""4""","""3""","""2""","""3""","""3""","""2""","""2""","""1""","""5""","""5""","""1""","""2""","""6""",50-64 Female
625,"""5""","""11""","""3""","""1""","""3""","""1""","""1""","""2""","""1""","""2""","""2""","""2""","""2""","""5""","""4""","""4""","""2""","""6""",50-64 Female
880,"""3""","""11""","""3""","""2""","""1""","""3""","""2""","""2""","""1""","""2""","""2""","""1""","""1""","""2""","""2""","""2""","""0""","""8""",65+ Female
1464,"""1""","""16""","""1""","""4""","""2""","""3""","""3""","""2""","""2""","""3""","""4""","""2""","""5""","""5""","""2""","""4""","""1""","""6""",30-49 Female
1772,"""2""","""16""","""1""","""2""","""2""","""4""","""4""","""2""","""2""","""3""","""4""","""2""","""2""","""4""","""2""","""4""","""0""","""8""",30-49 Male
2313,"""4""","""13""","""3""","""3""","""2""","""1""","""2""","""2""","""1""","""2""","""2""","""1""","""2""","""2""","""4""","""1""","""1""","""6""",30-49 Male
2221,"""2""","""13""","""1""","""5""","""5""","""4""","""4""","""1""","""2""","""3""","""3""","""2""","""4""","""4""","""5""","""4""","""-1""","""-1""",65+ Male
853,"""2""","""11""","""3""","""3""","""3""","""3""","""3""","""2""","""2""","""2""","""3""","""2""","""4""","""4""","""4""","""4""","""0""","""12""",50-64 Female
689,"""5""","""5""","""4""","""4""","""2""","""2""","""3""","""2""","""2""","""2""","""2""","""1""","""4""","""5""","""4""","""2""","""0""","""12""",65+ Male
1086,"""2""","""11""","""3""","""4""","""2""","""4""","""3""","""3""","""3""","""3""","""4""","""3""","""4""","""5""","""5""","""4""","""1""","""6""",65+ Female
1682,"""2""","""1""","""2""","""4""","""4""","""2""","""2""","""3""","""1""","""2""","""2""","""1""","""4""","""5""","""4""","""4""","""-1""","""-1""",65+ Female
836,"""4""","""16""","""11""","""2""","""1""","""1""","""1""","""1""","""1""","""1""","""1""","""1""","""2""","""2""","""2""","""1""","""0""","""12""",50-64 Male
37,"""2""","""1""","""3""","""4""","""4""","""3""","""3""","""1""","""2""","""2""","""1""","""1""","""2""","""2""","""2""","""1""","""1""","""1""",30-49 Female
482,"""2""","""4""","""4""","""4""","""4""","""4""","""3""","""3""","""3""","""3""","""3""","""2""","""2""","""4""","""4""","""4""","""1""","""6""",30-49 Male
469,"""2""","""19""","""5""","""1""","""4""","""4""","""4""","""4""","""3""","""4""","""1""","""2""","""1""","""1""","""2""","""4""","""1""","""6""",30-49 Male
1813,"""1""","""37""","""3""","""4""","""2""","""3""","""3""","""2""","""2""","""3""","""4""","""3""","""1""","""4""","""2""","""4""","""2""","""6""",30-49 Female
974,"""2""","""-98""","""3""","""2""","""3""","""2""","""2""","""3""","""2""","""2""","""3""","""2""","""4""","""5""","""5""","""2""","""0""","""12""",18-29 Female
350,"""4""","""35""","""3""","""5""","""5""","""2""","""2""","""1""","""2""","""2""","""4""","""2""","""2""","""2""","""1""","""4""","""0""","""12""",50-64 Male
1730,"""1""","""32""","""1""","""4""","""4""","""3""","""4""","""2""","""2""","""2""","""2""","""1""","""5""","""5""","""5""","""5""","""-1""","""-1""",65+ Female
2013,"""2""","""16""","""3""","""2""","""2""","""2""","""1""","""2""","""2""","""2""","""3""","""1""","""1""","""2""","""2""","""1""","""1""","""1""",50-64 Male
1808,"""2""","""1""","""-99""","""4""","""4""","""3""","""-99""","""-99""","""-98""","""-99""","""-99""","""-98""","""3""","""3""","""3""","""-99""","""0""","""12""",18-29 Female
1933,"""1""","""20""","""1""","""4""","""4""","""4""","""4""","""2""","""2""","""2""","""2""","""2""","""2""","""4""","""2""","""2""","""-1""","""-1""",65+ Female
514,"""4""","""29""","""-99""","""2""","""2""","""2""","""1""","""2""","""2""","""1""","""2""","""2""","""4""","""5""","""5""","""2""","""0""","""12""",50-64 Male
1211,"""4""","""12""","""-98""","""2""","""2""","""3""","""3""","""1""","""2""","""1""","""1""","""1""","""1""","""1""","""4""","""1""","""1""","""6""",65+ Female
920,"""4""","""5""","""3""","""5""","""3""","""2""","""5""","""3""","""2""","""2""","""3""","""1""","""2""","""4""","""2""","""1""","""0""","""12""",50-64 Female
1300,"""2""","""1""","""1""","""4""","""4""","""4""","""3""","""2""","""2""","""2""","""2""","""2""","""2""","""4""","""2""","""4""","""1""","""1""",30-49 Male
1779,"""2""","""-98""","""-98""","""2""","""2""","""2""","""2""","""2""","""1""","""2""","""3""","""2""","""4""","""4""","""4""","""4""","""0""","""8""",65+ Female
697,"""2""","""19""","""4""","""4""","""4""","""4""","""5""","""4""","""4""","""3""","""3""","""4""","""5""","""5""","""5""","""5""","""0""","""1""",50-64 Female
2061,"""2""","""96""","""1""","""2""","""2""","""2""","""2""","""2""","""2""","""3""","""2""","""2""","""4""","""4""","""4""","""2""","""2""","""6""",65+ Female
2237,"""2""","""1""","""1""","""3""","""5""","""3""","""4""","""3""","""3""","""4""","""3""","""4""","""4""","""4""","""-98""","""2""","""1""","""1""",30-49 Female
339,"""5""","""11""","""1""","""2""","""2""","""2""","""4""","""2""","""2""","""2""","""2""","""2""","""2""","""4""","""2""","""2""","""0""","""12""",65+ Male
1163,"""4""","""20""","""4""","""2""","""2""","""2""","""2""","""3""","""3""","""2""","""3""","""2""","""2""","""2""","""4""","""1""","""1""","""6""",30-49 Female
842,"""4""","""11""","""4""","""2""","""2""","""3""","""3""","""2""","""1""","""3""","""3""","""1""","""2""","""2""","""5""","""1""","""0""","""12""",30-49 Male
1913,"""4""","""11""","""2""","""4""","""4""","""4""","""4""","""3""","""3""","""3""","""4""","""3""","""2""","""4""","""4""","""4""","""0""","""12""",50-64 Male
534,"""4""","""16""","""11""","""3""","""4""","""3""","""3""","""4""","""4""","""2""","""4""","""2""","""5""","""5""","""5""","""2""","""1""","""1""",50-64 Male
261,"""2""","""-98""","""1""","""3""","""3""","""3""","""3""","""2""","""2""","""2""","""2""","""2""","""2""","""4""","""4""","""4""","""0""","""12""",65+ Male
1162,"""4""","""20""","""4""","""2""","""2""","""2""","""2""","""1""","""2""","""1""","""2""","""1""","""2""","""2""","""4""","""2""","""1""","""1""",30-49 Male
456,"""1""","""5""","""3""","""5""","""5""","""5""","""5""","""1""","""1""","""1""","""1""","""1""","""2""","""2""","""2""","""2""","""2""","""6""",50-64 Female
1293,"""2""","""4""","""-99""","""4""","""2""","""3""","""3""","""2""","""2""","""2""","""2""","""1""","""4""","""5""","""4""","""2""","""1""","""6""",30-49 Male
61,"""4""","""19""","""6""","""3""","""2""","""2""","""2""","""2""","""2""","""2""","""2""","""2""","""4""","""4""","""5""","""2""","""0""","""12""",50-64 Female
243,"""2""","""96""","""3""","""2""","""2""","""4""","""2""","""2""","""2""","""2""","""2""","""2""","""4""","""4""","""4""","""4""","""0""","""12""",65+ Male
560,"""2""","""-98""","""1""","""3""","""3""","""4""","""2""","""2""","""3""","""2""","""3""","""2""","""4""","""4""","""4""","""4""","""1""","""6""",18-29 Female
1390,"""2""","""11""","""97""","""2""","""2""","""2""","""2""","""1""","""1""","""1""","""2""","""2""","""5""","""5""","""5""","""5""","""-1""","""-1""",50-64 Male
1911,"""4""","""16""","""3""","""2""","""2""","""3""","""2""","""3""","""2""","""4""","""3""","""3""","""2""","""4""","""4""","""4""","""0""","""8""",65+ Female
1594,"""2""","""16""","""1""","""3""","""3""","""4""","""2""","""2""","""1""","""3""","""2""","""3""","""2""","""1""","""1""","""1""","""0""","""12""",65+ Male
1822,"""2""","""31""","""6""","""3""","""4""","""3""","""3""","""2""","""-98""","""1""","""3""","""3""","""4""","""5""","""5""","""4""","""1""","""6""",30-49 Female
449,"""2""","""1""","""-99""","""4""","""3""","""3""","""4""","""2""","""3""","""4""","""4""","""2""","""1""","""2""","""1""","""2""","""0""","""12""",30-49 Female
896,"""2""","""11""","""6""","""3""","""3""","""3""","""3""","""3""","""2""","""3""","""3""","""3""","""2""","""2""","""4""","""2""","""0""","""12""",50-64 Female
543,"""2""","""36""","""96""","""3""","""3""","""3""","""4""","""3""","""3""","""3""","""2""","""2""","""2""","""2""","""2""","""4""","""0""","""12""",50-64 Female
156,"""2""","""13""","""97""","""4""","""4""","""3""","""4""","""2""","""2""","""2""","""3""","""1""","""2""","""2""","""4""","""2""","""1""","""1""",30-49 Male
1387,"""5""","""11""","""3""","""4""","""1""","""2""","""2""","""1""","""1""","""2""","""2""","""1""","""4""","""4""","""4""","""2""","""0""","""12""",65+ Male
2612,"""2""","""13""","""3""","""4""","""2""","""3""","""2""","""2""","""1""","""2""","""3""","""1""","""1""","""1""","""1""","""1""","""1""","""6""",50-64 Male
1318,"""4""","""1""","""1""","""5""","""5""","""3""","""5""","""1""","""1""","""2""","""1""","""1""","""4""","""4""","""4""","""1""","""0""","""12""",65+ Male
1820,"""2""","""16""","""4""","""3""","""3""","""4""","""5""","""2""","""2""","""2""","""3""","""1""","""4""","""4""","""4""","""2""","""1""","""6""",65+ Male
26,"""1""","""13""","""13""","""5""","""1""","""5""","""3""","""1""","""1""","""1""","""1""","""1""","""5""","""5""","""5""","""4""","""-1""","""-1""",65+ Male
801,"""2""","""11""","""1""","""2""","""1""","""2""","""2""","""1""","""1""","""1""","""2""","""2""","""4""","""4""","""4""","""2""","""0""","""12""",65+ Male
846,"""4""","""11""","""4""","""2""","""2""","""2""","""2""","""2""","""2""","""2""","""4""","""1""","""4""","""4""","""4""","""2""","""0""","""8""",18-29 Male
623,"""4""","""13""","""3""","""3""","""3""","""3""","""3""","""1""","""2""","""2""","""2""","""1""","""4""","""2""","""5""","""2""","""1""","""1""",65+ Female
